,totoff,vol,totbid,amount,last,low,high,open,avebid,aveoff,trade,bid1,bid2,bid3,bid4,bid5,bid6,bid7,bid8,bid9,bid10,ask1,ask2,ask3,ask4,ask5,ask6,ask7,ask8,ask9,ask10,bid_vol1,bid_vol2,bid_vol3,bid_vol4,bid_vol5,bid_vol6,bid_vol7,bid_vol8,bid_vol9,bid_vol10,ask_vol1,ask_vol2,ask_vol3,ask_vol4,ask_vol5,ask_vol6,ask_vol7,ask_vol8,ask_vol9,ask_vol10
93133000,15390682.0,9421940.0,4696800.0,117701770.0,123800.0,123800.0,125500.0,125500.0,119800.0,129300.0,3201.0,123800.0,123700.0,123600.0,123500.0,123400.0,123300.0,123200.0,123100.0,123000.0,122900.0,123900.0,124000.0,124100.0,124200.0,124300.0,124400.0,124500.0,124600.0,124700.0,124800.0,2800.0,44800.0,50300.0,133600.0,5500.0,49600.0,21700.0,43600.0,91200.0,7000.0,600.0,223600.0,55000.0,169300.0,68822.0,158500.0,111830.0,18400.0,118000.0,22200.0
93136000,15413182.0,9493940.0,4761800.0,118594018.0,123900.0,123700.0,125500.0,125500.0,119900.0,129300.0,3243.0,123900.0,123800.0,123700.0,123600.0,123500.0,123400.0,123300.0,123200.0,123100.0,123000.0,124000.0,124100.0,124200.0,124300.0,124400.0,124500.0,124600.0,124700.0,124800.0,124900.0,13200.0,20900.0,41800.0,75300.0,133600.0,11000.0,52600.0,21700.0,43600.0,92500.0,242300.0,55300.0,169300.0,73022.0,158500.0,103830.0,20400.0,118000.0,22200.0,72700.0
93139000,15417982.0,9630086.0,4713754.0,120280260.0,123800.0,123700.0,125500.0,125500.0,119800.0,129300.0,3301.0,123700.0,123600.0,123500.0,123400.0,123300.0,123200.0,123100.0,123000.0,122900.0,122800.0,123800.0,123900.0,124000.0,124100.0,124200.0,124300.0,124400.0,124500.0,124600.0,124700.0,24254.0,78300.0,133600.0,11000.0,52600.0,21700.0,43600.0,93100.0,7000.0,24800.0,8500.0,1000.0,240600.0,55600.0,172800.0,77822.0,157000.0,103830.0,20400.0,118000.0
93142000,15451382.0,9684786.0,4716954.0,120957412.0,123800.0,123700.0,125500.0,125500.0,119800.0,129300.0,3338.0,123800.0,123700.0,123600.0,123500.0,123400.0,123300.0,123200.0,123100.0,123000.0,122900.0,123900.0,124000.0,124100.0,124200.0,124300.0,124400.0,124500.0,124600.0,124700.0,124800.0,2300.0,16554.0,78800.0,134400.0,11000.0,52600.0,21700.0,43600.0,96300.0,7000.0,93400.0,233100.0,55600.0,172300.0,80822.0,157000.0,100330.0,20400.0,118000.0,22200.0
93145000,15493982.0,9790586.0,4744754.0,122267458.0,123800.0,123700.0,125500.0,125500.0,119900.0,129300.0,3390.0,123800.0,123700.0,123600.0,123500.0,123400.0,123300.0,123200.0,123100.0,123000.0,122900.0,123900.0,124000.0,124100.0,124200.0,124300.0,124400.0,124500.0,124600.0,124700.0,124800.0,25300.0,16254.0,79800.0,134400.0,11000.0,62600.0,21700.0,43600.0,96300.0,7000.0,127400.0,287600.0,55400.0,178500.0,84622.0,111600.0,98630.0,23600.0,118000.0,22300.0
93148000,15521982.0,9877886.0,4752654.0,123348169.0,123800.0,123700.0,125500.0,125500.0,119900.0,129300.0,3445.0,123700.0,123600.0,123500.0,123400.0,123300.0,123200.0,123100.0,123000.0,122900.0,122800.0,123800.0,123900.0,124000.0,124100.0,124200.0,124300.0,124400.0,124500.0,124600.0,124700.0,19754.0,85300.0,144700.0,11000.0,62600.0,21700.0,45600.0,107300.0,7000.0,24800.0,4000.0,118300.0,322400.0,55400.0,178500.0,78122.0,109500.0,98630.0,23600.0,118000.0
93151000,15647982.0,10062786.0,4691154.0,125635456.0,123700.0,123600.0,125500.0,125500.0,119800.0,129200.0,3512.0,123600.0,123500.0,123400.0,123300.0,123200.0,123100.0,123000.0,122900.0,122800.0,122700.0,123700.0,123800.0,123900.0,124000.0,124100.0,124200.0,124300.0,124400.0,124500.0,124600.0,29754.0,147500.0,13000.0,62600.0,21700.0,46600.0,107300.0,7000.0,24800.0,14600.0,1000.0,198600.0,106100.0,276600.0,55400.0,178000.0,78122.0,109500.0,100230.0,17500.0
93154000,15606482.0,10162586.0,4700954.0,126870442.0,123700.0,123600.0,125500.0,125500.0,119800.0,129200.0,3540.0,123600.0,123500.0,123400.0,123300.0,123200.0,123100.0,123000.0,122900.0,122800.0,122700.0,123700.0,123800.0,123900.0,124000.0,124100.0,124200.0,124300.0,124400.0,124500.0,124600.0,32154.0,148700.0,13000.0,62600.0,21700.0,46600.0,112900.0,7000.0,24900.0,14600.0,600.0,155900.0,114200.0,277000.0,53600.0,172700.0,77122.0,109500.0,99230.0,19500.0
93157000,15706998.0,10352640.0,4687500.0,129221380.0,123600.0,123600.0,125500.0,125500.0,119800.0,129200.0,3588.0,123500.0,123400.0,123300.0,123200.0,123100.0,123000.0,122900.0,122800.0,122700.0,122600.0,123600.0,123700.0,123800.0,123900.0,124000.0,124100.0,124200.0,124300.0,124400.0,124500.0,141900.0,14000.0,62600.0,24700.0,46600.0,113900.0,7000.0,24900.0,14600.0,47800.0,132146.0,27800.0,75400.0,108600.0,282500.0,53600.0,172700.0,76122.0,109500.0,97500.0
93200000,15868598.0,10550840.0,4698800.0,131671070.0,123600.0,123500.0,125500.0,125500.0,119800.0,129100.0,3628.0,123500.0,123400.0,123300.0,123200.0,123100.0,123000.0,122900.0,122800.0,122700.0,122600.0,123600.0,123700.0,123800.0,123900.0,124000.0,124100.0,124200.0,124300.0,124400.0,124500.0,165000.0,14000.0,62600.0,24700.0,46600.0,118400.0,7000.0,24900.0,14600.0,47800.0,169946.0,43300.0,98400.0,208800.0,272300.0,53600.0,173200.0,76122.0,104500.0,98500.0
